actionmailer, 4.1.1, MIT
actionpack, 4.1.1, MIT
actionview, 4.1.1, MIT
activemodel, 4.1.1, MIT
activerecord, 4.1.1, MIT
activesupport, 4.1.1, MIT
addressable, 2.3.6, Apache 2.0
arel, 5.0.1.20140414130214, MIT
better_errors, 1.1.0, MIT
binding_of_caller, 0.7.2, MIT
bootstrap-sass, 3.1.1.1, MIT
builder, 3.2.2, MIT
bundler, 1.6.2, MIT
capistrano, 3.2.1, MIT
capybara, 2.3.0, MIT
childprocess, 0.5.3, MIT
coderay, 1.1.0, MIT
coffee-rails, 4.0.1, MIT
coffee-script, 2.2.0, MIT
coffee-script-source, 1.7.0, MIT
colorize, 0.7.3, GPL-2
database_cleaner, 1.3.0, MIT
debug_inspector, 0.0.2, MIT
diff-lcs, 1.2.5, multiple licenses: MIT, Perl Artistic v2, GNU GPL v2
erubis, 2.7.0, MIT
execjs, 2.1.0, MIT
factory_girl, 4.4.0, MIT
factory_girl_rails, 4.4.1, MIT
faker, 1.3.0, MIT
ffi, 1.9.3, BSD
high_voltage, 2.1.0, MIT
hike, 1.2.3, MIT
httparty, 0.13.1, MIT
i18n, 0.6.9, MIT
jbuilder, 2.0.7, MIT
jquery-rails, 3.1.0, MIT
json, 1.8.1, other
launchy, 2.4.2, ISC
license_finder, 1.1.0, MIT
mail, 2.5.4, MIT
mime-types, 1.25.1, multiple licenses: MIT, Artistic 2.0, GPL-2
mini_portile, 0.6.0, MIT
minitest, 5.3.4, MIT
multi_json, 1.10.1, MIT
multi_xml, 0.5.5, MIT
net-scp, 1.2.1, MIT
net-ssh, 2.9.1, MIT
nokogiri, 1.6.2.1, MIT
pg, 0.17.1, multiple licenses: BSD, ruby, GPL
polyglot, 0.3.5, MIT
quiet_assets, 1.0.2, other
rack, 1.5.2, MIT
rack-test, 0.6.2, MIT
rails, 4.1.1, MIT
rails_layout, 1.0.18, MIT
railties, 4.1.1, MIT
rake, 10.3.2, MIT
rdoc, 4.1.1, ruby
rspec-core, 3.0.0, MIT
rspec-expectations, 3.0.0, MIT
rspec-mocks, 3.0.0, MIT
rspec-rails, 3.0.1, MIT
rspec-support, 3.0.0, MIT
rubyzip, 1.1.4, BSD 2-Clause
sass, 3.2.19, MIT
sass-rails, 4.0.3, MIT
sdoc, 0.4.0, MIT
selenium-webdriver, 2.42.0, Apache
sequel, 4.12.0, MIT
shoulda-matchers, 2.6.1, MIT
spring, 1.1.3, MIT
sprockets, 2.11.0, MIT
sprockets-rails, 2.1.3, MIT
sqlite3, 1.3.9, New BSD
sshkit, 1.5.1, GPL3
thor, 0.19.1, MIT
thread_safe, 0.3.4, Apache 2.0
tilt, 1.4.1, MIT
treetop, 1.4.15, MIT
turbolinks, 2.2.2, MIT
tzinfo, 1.2.1, MIT
uglifier, 2.5.0, MIT
websocket, 1.0.7, other
xml-simple, 1.1.4, ruby
xpath, 2.0.0, other
